,text,label
0,TAILWHEEL COCKED RIGHT PRIOR TO takeoff,AU
1,TOW PLANE BECAME AIRBORNE THEN SETTLED STUDENT THOUGHT TOW IN TROUBLE & RELEASED HIT TREE,ME
2,"2ND ILS APCH,aircraft'S G/S INOP LOM TUNED TO WRONG FREQ ",AU
3,pilot NOTED SOFT right BRAKE PEDAL DRG TAXI TO takeoff FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS,AU
4,TAXI OFF HARD SFC DUE TFC right MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL,AF
5,aircraft BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED,AF
6,DEP FOR DEST WITH KNOWN ELEC PROB  DIDNT USE EMERG GR DOWN SYS,AU
7,MTNS OBSCURED FLT TO CK VOR REC REPTD INOP PRIOR DAY,AU
8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE,ME
9,maintenance NOT PERFORMED DUE PARTS NOT AVAILABLE  TURBOCHARGER WASTE GATE DID NOT ACTUATE,AU
10,"LEFT ENG OIL SUPPLY EXHAUSTED GEAR-UP LDG IN MESQUITE BRUSH DENSITY ALT,7200FT  HIGH OIL USAGE ENG",AU
11,pilot CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE,ME
12,pilot PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION DIDN'T OBSERVE GR SAFE LGT  WIND GUSTING 23KTS,AU
13,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED NOT TIME TO EXT GEAR MANUALLY ",ME
14,GRASS FIRE ONLY  SKID CAUGHT UNDER REFUELING LINE,DE
15,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR pilot UN maintain FLT ",ME
16,NO NARRATIVE AVAILABLE,II
17,"R ENG,L MAG EXCESSIVE DROP  ATTMPTD FEATHER right PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION ",AU
18,RUDDER GUST LOCK ENGAGED ICE ON WINGS OVERWEIGHT,AU
19,RUDDER & AIL CTL CABLES LOOSE  right RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE,II
20,L MAG INOP #5 CYL COMPRESSION 25/80,AU
21,WRONG PROP INSTALLED,AU
22,APRX 1/2 CUPFULL FLUID UNDER right BRAKE PRIOR TO DEPARTURE,AU
23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE,AU
24,OIL FILLER CAP MISSING,II
25,aircraft 2807 & N7930C SUBSTANTIALLY DMGD  pilot CONTINUED TAXIING AFTER TOTAL HYD FAILURE,EQ
26,pilot DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE,EQ
27,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION,II
28,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R ",ME
29,OIL TEMP BULB RETAINING NUT FINGER TIGHT FIRST FLT AFTR ANNUAL,II
30,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS WASHER CRACKED & SEPARATED FRM BOLT,II
31,APRX 15LBS OVR MAX GWT ENG NOT FEATHERED AUTOFEATHER NOT CONNECTED 100 OCTANE FUEL,AU
32,"EMERGENCY LANDING AFTER ENGINE QUIT  CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL ",II
33,FORCED LANDING AFTER ENGINE QUIT  SUSPECT WATER IN FUEL,II
34,FORCED LANDING AFTER POWER LOSS  WATER FOUND IN FUEL,II
35,FORCED LANDING AFTER ENGINE QUIT  FOUND FROZEN WATER IN FUEL SYSTEM,II
36,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK ",II
37,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE  ICE RESTRICTION IN MAIN FUEL STRAINER ",II
38,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN  HAD BEEN TOPPED OFF WITH JET FUEL,II
39,"ENGINE VIBRATED, LOST POWER, THEN QUIT  CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER ",II
40,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL,II
41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE  GEAR RETRACTED ON TAKEOFF ROLL,II
42,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT  LANDING LIGHT WAS INOPERATIVE ",AU
43,"RUDDER,R AIL CTL LOCKS INSTALLED REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT ",II
44,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK ",AU
45,WATER IN REAR COMPTMT FLOATS EXCEEDED AFT CG LMT THROTTLE FRICTION LOOSE,II
46,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN  PARTIALLY OPENED ON PREFLIGHT,II
47,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF  STRANGE NOISE DURING RETRACTION  GEAR EXTENDED OK, LANDED OK ",II
48,WIND GUSTING TO 25,AU
49,ENGINE COWLING CAME LOOSE IN FLIGHT  IT HAD NOT BEEN LATCHED PROPERLY,II
50,aircraft DISPATCHER HARRASSMENT OF PILOT  PILOT FORGOT TO REMOVE TIEDROPE,II
51,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING  HYDRAULIC RESERVOIR OUT OF FLUID,II
52,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL  NO PILOT CERTIFICATE, NO ANNUAL ",II
53,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF  WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED ",II
54,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM,II
55,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER,II
56,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE  DIP STICK FOUND TO BE MISSING,II
57,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD  ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL,II
58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING  SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER ",II
59,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION  PILOT CLAIMS FUEL GAUGE FAULTY,II
60,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING,AF
61,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE  NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF ",II
62,ENGINE BEGAN SURGING IN FLIGHT  ENGINE SHUT DOWN  FUEL CONTAMINATION SUSPECTED,II
63,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF  LANDING GEAR COLLAPSED AT TOUCHDOWN,AU
64,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN  BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY ",AU
65,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD  LANDED FOR FUEL, NON AVAILABLE  TOOK OFF, RAN OUT ",II
66,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT  RETURNED, GEAR HANDLE DOWN  GEAR COLLAPSED ON TOUCHDOWN ",ME
67,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE  SYSTEM NEEDED TO BE PURGED OF AIR,II
68,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF  NOSE WHEEL DROPPED OUT AFTER LIFTOFF,II
69,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM,II
70,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM,II
71,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY  GEAR COLLAPSED  BOTH GENERATOR ARMATURES EXTREMELY GALLED ",EQ
72,GEAR COLLAPSED ON ROLLOUT  PILOT HAD ELECTRICAL FAILURE ON FINAL  FAILED TO USE EMERGENCY GEAR EXTENSION,EQ
73,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING  HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL,AF
74,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT  FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE,AU
75,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL  FOUND WATER IN FUEL,II
76,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER  FOUND FUEL GASOLATOR CONTAMINATED,II
77,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN ",EQ
78,"PILOT HAD CARB  HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED  CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN ",II
79,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF  DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING,II
80,ENGINE STOPPED DUE TO VACUUM IN THE TANK  PILOT USING A NON-VENTED CAP  RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK,II
81,pilot AWARE OF FULL NOSE DOWN TRIM  0 10 LVL ALCOHOL IN LIVER SPEC5LBS FORCE RQD FOR LVL FLT,AU
82,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP ",II
83,BRAKES WERE INEFFECTIVE ON LANDING  RAN THROUGH FENCE,II
84,FLIGHT RETURNED DUE TO MAG  FAILURE  PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED,II
85,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT,II
86,GUSTING TO 30K,DE
87,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF,II
88,FUEL CAP OFF AIRCRAFT  THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL  ENGINE QUIT  LANDED ON FREEWAY,II
89,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES  BOTH OIL CAPS NOT LOCKED PROPERLY,II
90,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR,EQ
91,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY ",II
92,ENGINE FIRE CAUSED BY BIRDS NEST,II
93,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT  LANDED STRAIGHT AHEAD  PROBABLY WATER IN FUEL,II
94,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA,DE
95,ENGINE QUIT ON TAKEOFF  WATER IN FUEL,II
96,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING  DURING RUNUP TURNED HYDRAULIC ON  GEAR RETRACTED,II
97,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS ",II
98,ENGINE SPUTTERED AND QUIT AT CRUISE  LANDED IN MARSHY AREA AND TIPPED UP ON NOSE  WATER IN FUEL,II
99,LOGGING OPNS  CABLE CAUGHT ON L SKID,II
100,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK  MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE ",II
101,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN  WAS DAMAGED FROM PREVIOUS HARD LANDING  WIRED TO A BRACE BY THE PILOT,AU
102,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN  SPRAY HELICOPTER RAN OUT OF FUEL,II
103,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM,II
104,ACORNS LODGED IN CARB AIR BOX ASSEMBLY,II
105,PRECAUTIONARY LANDING DUE TO LOW POWER  CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE,II
106,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN  NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED ",II
107,PILOT RETURNED DUE TO CONTROL PROBLEMS  FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED,II
108,ROPE CAUGHT ON GLIDER WHEEL BRACKET,II
109,OIL PR DROPPED TO ZERO pilot SHUT DN ENG WING HIT TREE ADJACENT TO IL CAP NOT SECURED,II
110,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT ",EQ
111,FORCED LANDING AFTER POWER LOSS  FOUND WATER IN FUEL,II
112,BECAME AIRBORNE AFTER takeoff ABORTED,ME
113,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN  DOOR WAS CLOSED IN FLIGHT,II
114,FULL NOSE DOWN TRIM,II
115,"takeoff FROM TRAILER,NO LOAD  right SKID TIEDOWN NOT REMOVED ",II
116,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT,II
117,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD  OIL CAP WAS LOOSE,II
118,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK  VENT STOPPED UP BY MUD DAUBERS,II
119,ENGINE QUIT AT 250 FEET ON CLIMBOUT  WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL,II
120,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING,II
121,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM  HAD BEEN STORED OUTSIDE,II
122,MUD DOBBERWASPNEST IN FUEL VENT LINE,II
123,NO NARRATIVE,II
124,LOW OIL STATE LNDD IN FLOODED ALFALFA FIELD,II
125,LOSS OF ENGINE POWER AFTER TAKEOFF  LANDED STRAIGHT AHEAD IN OAT FIELD  WATER IN FUEL,II
126,pilot INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE,AU
