,0
FORCED LANDING AFTER POWER LOSS  FOUND WATER IN FUEL ,4
FORCED LANDING AFTER ENGINE QUIT  FOUND WATER IN FUEL ,3
NO NARRATIVE AVAILABLE ,2
TAILWHEEL COCKED RIGHT PRIOR TO takeoff ,1
VIBRATION ON SLOW SPRAY RUN  FELL TO GROUND  ROLLED OVER  LOST A ROTOR BLADE  WAS ADVISED OF CRACK AT ROTOR HUB ,1
UNEVEN FUEL FLOW  SLIPPED TO EQUILIZE FUEL IN TANKS  LOST POWER  NO RESTART  FUELED FROM CANS  SUMPS NOT USED ,1
"NARRATIVE: ON JANUARY 18, 1995, DELTA AIRLINES FLIGHT #1691, AFTER LANDING ON RUNWAY 20 AT IDAHO FALLS, ID FANNING FIELD, SLID OFF OF TAXIWAY A-3 WHILE MAKING THE SECOND 90 DEGREE TURN OFF OF THAT TAXIWAY  THE NOSE WHEEL AND RIGHT MAIN GEAR WERE OFF THE TAXIWAY  THERE WERE NO INJURIES TO THE PASSENGERS OR CREW  THE PASSENGERS WERE UNLOADED AND TAKEN TO THE TERMINAL BY BUS  THE AIRPLANE WAS TOWED TO THE TERMINAL AND INSPECTED BY A DELTA MECHANIC  NO DAMAGE WAS FOUND AND THE AIRPLANE WAS RETURNED TO SERVICE  PRIOR TO DELTA AIRLINES FLIGHT #1691, IDAHO FALLS AIRPORT OPERATIONS REPORTED THAT INTERSECTIONS AND TAXIWAYS WERE EXTREMELY SLICK  AIRPORT OPERATIONS HAD REQUESTED THAT THE TAXIWAYS BE SANDED, BUT THE SANDING WAS NOT ACCOMPLISHED BEFORE DELTA AIRLINES FLIGHT #1691'S ARRIVAL  THIS IS A FINAL REPORT ",1
TRIED TAXI NOSE WHEEL CHOCKED  PASSENGERS GOT OUT TO REMOVE CHOCK WAS STRUCK BY IDLING PROPELLER ,1
TURNED WRONG WAY AFTER TAKEOFF  THEN DESCENDED INTO TREES  FAILED REMOVE AIRSCOOP COVER CAUSING POWER LOSS ,1
"NARRATIVE: AFTER LANDING RUNWAY 01 AT TEB AIRPORT AND DECELERATING, THE LEFT MAIN LANDING GEAR COLLAPSED AND THE AIRCRAFT VEERED TO THE LEFT, WENT OFF THE RUNWAY, AND CAME TO A STOP ON THE GRASSY AREA  IMPACT DAMAGE TO THE LEFT WING TIP, LOWER WING SURFACE, LEFT AILERON, LEFT TRAILING EDGE FLAP, LEFT WHEEL WELL GEAR DOOR, AND LEFT ENGINE PROPELLER BLADES WERE SUSTAINED  ON MARCH 1, 1995, A LANDING GEAR SYSTEM FUNCTIONAL CHECK WAS CONDUCTED  IT CONSISTED OF AN ANTI-RETRACTION SYSTEM CHECK AND GEAR RETRACTION AND EXTENSION  THE ANTI-RETRACTION CHECK WAS FOUND OPERATIONAL  HOWEVER, THE RETRACTION AND EXTENSION CHECK SHOWED THAT THE LEFT GEAR OPERATED NORMALLY IN THE DOWN AND LOCK POSITION BUT ABNORMALLY IN THE UP AND LOCK POSITION  THIS WAS DUE TO BINDING OF THE UPLOCK HOOK MECHANISM RESULTING FROM DIRT, CORROSION AND LACK OF LUBRICATION  THIS CONTAMINATED CONDITION WAS ALSO EVIDENT IN THE DOWNLOCK MECHANISM, THE LEFT GEAR DOWN LOCK INDICATION SWITCH FOR GREEN LIGHT WAS FOUND OUT OF ADJUSTMENT ALLOWING THE INDICATION LIGHT TO STAY GREEN EVEN THOUGH THE GEAR MAY NOT BE DOWN AND LOCKED  AS A RESULT OF THIS PROBABILITY AND THE DEGRADED CONDITION OF THE LANDING GEAR LOCKING MECHANISMS, THE POSSIBILITY EXISTED THAT THE LEFT GEAR MAY NOT HAVE BEEN DOWN AND LOCKED AT THE TIME OF THE INCIDENT  THEREFORE, THIS OFFICE CONSIDERS THIS INCIDENT CLOSED ",1
LOST POWER TRIED FOR OPEN FIELD  STRUCK TREES  WATER AND ICE IN FUEL SYSTEM  PRIOR PROBLEM  MAG SWITCH ON ONE MAG ,1
FIRST FLIGHT AFTER PAINTING  ENGINE QUIT  LANDED IN FIELD  FOUND WATER IN FUEL  INADEQUATE FUEL SUMPING ,1
LOST POWER ON CLIMBOUT  LANDED IN TREES  AIRCRAFT IDLE FOUR MONTHS  FUEL DRAINS FROZE SHUT  NO CURRENT MEDICAL ,1
ROLLED THROTTLE OFF INSTEAD OF COLLECTIVE ON DESCENT FOR LANDING  IMPACT BROKE OFF RIGHT SKID  ROLLED OVER ,1
LANDED SHORT OF RUNWAY DARK SNOWY NIGHT  ICE ON AIRCRAFT  SPOILERS OUT  POOR COCKPIT MANAGEMENT  SPOILER LIGHT ON ,1
"NARRATIVE: PILOT DEPARTED RWY 28L, VFR, REPORTED ENGINE FAILURE APPROX  1 MILE WEST OF AIRPORT  ATC CLEARED PILOT TO LAND ANY RUNWAY  PILOT LANDED RWY 05R WITHOUT INCIDENT  PILOT SUBSEQUENTLY ""RESTARTED"" ENGINE AFT ENGINE AND DEPARTED ON IFR CLEARANCE TO CRQ  PILOT CLAIMED, DURING INTERVIEW WITH INSPECTORS T  PARK, D  JOHNSON, AND S  VARGO, OF SAN DIEGO FSDO, ON 02/16/95, THAT ENGINE QUIT AS AIRPLANE ROTATED FOR TAKEOFF  CAUSE OF ENGINE FAILURE WAS BEING INVESTIGATED BY COMPANY MECHANICS A&P'S DURING INTERVIEW  SUBSEQUENT INVESTIGATION BY INSPECTOR PARK DISCLOSED FOUR PILOT WITNESSES WHO CLAIM PILOT BEGAN HIS TAKEOFF WITH THE AFT ENGINE SHUT DOWN, OR INOPERATIVE  PRIVACY DATA OMITTED THIS REPORT DID NOT INVOLVE A NMAC OR A PILOT DEVIATION ",1
DEPARTED WITH KNOWN BRAKE PROBLEM  BRAKE FAILED LANDING  EXITED RUNWAY  NOSED OVER ,1
STATE POLICE FLIGHT  CLIMBING OVER RIVER  LOST POWER  ROTORS STOPPED  FUEL HAD RUSTY WATER  INJECTORS CLOGGED ,1
LOST POWER AFTER NOTING LOW FUEL  LANDED GEAR UP IN FIELD  BELEIVE QUICK DRAIN LEAKED 12 GALLONS FUEL EN ROUTE ,1
"THE BLIMP HAD A HISTORY OF UNRESOLVED ELECTRICAL SYSTEM CHARGING PROBLEMS  THE GROUND CREW WERE GIVEN RIDES AFTER THE LAST REVENUE FLGT AS ONE OF TH E GROUND CREW GOT IN FOR HIS RIDE, HE ACCIDENTLY MOVED THE MIXTURE AND KILLED THE ENGINE  THE PILOT RESTARTED THE ENGINE THEN SAID HE HAD A LOW-BATERY WARNING LIGHT, BUT THOUGHT HE HAD ENOUGH OF A CHARGE TO MAKE ONE MORE CIRCUIT  THE PASSENGER SAID THE LOW-BATTERY LIGHT REMAINED ON FOR THE ENTIRE FLIGHT  ON APPROACH, THE PILOT WENT AROUND DUE TO A WIND GUST  ON THE SECOND DOWNWIND, THE VOLTAGE DROPPED TO AND THE PILOT TURNED DIRECTLY TOWARD THE LANDING AREA  AT THAT POINT, THE ELECTRICAL SERVOS WHICH MOVE THE CONTROL SURFACES STOPPED WORKING DUE TO THE LOW VOLTAGE  THE BLIMP HIT THE GRASS SHORT OF THE LANDING ZONE AND BOUNCED ALONG THE GROUND UNTIL IT STOPPED NEAR THE TOP OF A BERM  THE PILOT TOLD THE PASSENGER TO GET OUT AND HOLD THE BLIMP DOWN  THE PASSENGER TRIPPED AS HE GOT OUT AND ROLLED DOWN THE HILL  WHEN HE GOT BACK ON HIS FEET, THE BLIMP WAS RISING WITH THE PILOT HOLDING ON TO A HOLD DOWN RAIL  THE PILOT LOST HIS GRIP AND FELL FROM 200 FEET  POSTACCIDENT TESTS OF THE ELECTRICAL SYSTEM REVEALED THAT A SHORT IN THE STARTER    SWITCH WAS CONSTANTLY DRAINING THE BATTERY  THE SWITCH WIRING WAS NOT INSTALLED IN ACCORDANCE WITH FACTORY STANDARDS OR THE maintenance MANUEL   19 SEE NARRATIVE #LAX95LA121",1
UNABLE TO ROTATE ON TAKEOFF  ABORTED AND RAN OFF END RUNWAY  NOSED OVER  HAD FORGOTTEN TO REMOVE THE CONTROL LOCK ,1
NEWLY PURCHASED DEPARTING TO FERRY HOME  PASS SIDE SEAT BELT PREVENTED GEAR BAR LOCK  TRYING TO CLEAR LOST CONTROL ,1
"NARRATIVE: DURING DESCENT INTO WILLISTON AIRPORT ISN, ND THE FLIGHT CREW EXPERIENCED THE LOSS OF THE ELEVATOR TRIM SYSTEM  ATTEMPTS WERE MADE TO CORRECT THE NOSE DOWN TRIM BY USE OF ELECTRICAL TRIM AND MANUAL TRIM, WITH NO SUCCESS  NOSE UP PITCH WAS GAINED BY BOTH PILOT PULLING ON CONTROLS TO OVERRIDE NOSE DOWN PITCH AND THE LOWERING OF THE FLAPS  AIRCRAFT WAS LANDED AT WILLISTON AIRPORT WITHOUT FURTHER INCIDENT  A BROKEN NOSE UP ELEVATOR TRIM CABLE WAS FOUND AT THE TOP OF THE HORIZONTAL STABILIZER ",1
